Year,State,StateUnemploymentRate
1976/2/1,Illinois,6.6
1976/2/1,Indiana,6.6
1976/2/1,Iowa,4.3
1976/2/1,Kansas,4.2
1976/2/1,Kentucky,5.6
1976/2/1,Louisiana,6.3
1976/2/1,Maine,8.7
1976/2/1,Maryland,6.4
1976/2/1,Massachusetts,10.5
1976/2/1,Michigan,9.9
1976/2/1,Minnesota,6
1976/2/1,Mississippi,6.7
1976/2/1,Missouri,5.9
1976/2/1,Montana,5.8
1976/2/1,Nebraska,3.3
1976/2/1,Nevada,9.2
1976/2/1,New Hampshire,6.5
1976/2/1,New Jersey,10.3
1976/2/1,New Mexico,8.7
1976/2/1,New York,10.3
1976/2/1,North Carolina,6.4
1976/2/1,North Dakota,3.4
1976/2/1,Ohio,8.1
1976/2/1,Oklahoma,5.8
1976/2/1,Oregon,9.5
1976/2/1,Pennsylvania,8.1
1976/2/1,Rhode Island,7.8
1976/2/1,South Carolina,7.4
1976/2/1,South Dakota,3.3
1976/2/1,Tennessee,6
1976/2/1,Texas,5.8
1976/2/1,Utah,5.9
1976/2/1,Vermont,8.6
1976/2/1,Virginia,6.1
1976/2/1,Washington,8.5
1976/2/1,West Virginia,7.5
1976/2/1,Wisconsin,5.8
1976/2/1,Wyoming,4.1
1976/3/1,Alabama,6.6
1976/3/1,Alaska,7
1976/3/1,Arizona,10.1
1976/3/1,Arkansas,7.3
1976/3/1,California,9.1
1976/3/1,Colorado,5.7
1976/3/1,Connecticut,9.8
1976/3/1,Delaware,8
1976/3/1,District of Columbia,8.6
1976/3/1,Florida,9.6
1976/3/1,Georgia,8.4
1976/3/1,Hawaii,9.8
1976/3/1,Idaho,5.6
1976/3/1,Illinois,6.6
1976/3/1,Indiana,6.5
1976/3/1,Iowa,4.3
1976/3/1,Kansas,4.2
1976/3/1,Kentucky,5.6
1976/3/1,Louisiana,6.3
1976/3/1,Maine,8.6
1976/3/1,Maryland,6.4
1976/3/1,Massachusetts,10.5
1976/3/1,Michigan,9.9
1976/3/1,Minnesota,5.9
1976/3/1,Mississippi,6.6
1976/3/1,Missouri,5.9
1976/3/1,Montana,5.8
1976/3/1,Nebraska,3.3
1976/3/1,Nevada,9.2
1976/3/1,New Hampshire,6.5
1976/3/1,New Jersey,10.3
1976/3/1,New Mexico,8.7
1976/3/1,New York,10.2
1976/3/1,North Carolina,6.4
1976/3/1,North Dakota,3.4
1976/3/1,Ohio,8.1
1976/3/1,Oklahoma,5.8
1976/3/1,Oregon,9.4
1976/3/1,Pennsylvania,8.1
1976/3/1,Rhode Island,7.7
1976/3/1,South Carolina,7.3
1976/3/1,South Dakota,3.2
1976/3/1,Tennessee,6
1976/3/1,Texas,5.9
1976/3/1,Utah,5.8
1976/3/1,Vermont,8.6
1976/3/1,Virginia,6.1
1976/3/1,Washington,8.4
1976/3/1,West Virginia,7.5
1976/3/1,Wisconsin,5.7
1976/3/1,Wyoming,4.1
1976/4/1,Alabama,6.5
1976/4/1,Alaska,6.9
1976/4/1,Arizona,10
1976/4/1,Arkansas,7.2
1976/4/1,California,9.1
1976/4/1,Colorado,5.6
1976/4/1,Connecticut,9.6
1976/4/1,Delaware,8.1
1976/4/1,District of Columbia,8.5
1976/4/1,Florida,9.5
1976/4/1,Georgia,8.3
1976/4/1,Hawaii,9.7
1976/4/1,Idaho,5.6
1976/4/1,Illinois,6.6
1976/4/1,Indiana,6.3
1976/4/1,Iowa,4.2
1976/4/1,Kansas,4.2
1976/4/1,Kentucky,5.6
1976/4/1,Louisiana,6.4
1976/4/1,Maine,8.6
1976/4/1,Maryland,6.4
1976/4/1,Massachusetts,10.3
1976/4/1,Michigan,9.8
1976/4/1,Minnesota,5.8
1976/4/1,Mississippi,6.4
1976/4/1,Missouri,6
1976/4/1,Montana,5.8
1976/4/1,Nebraska,3.2
1976/4/1,Nevada,9
1976/4/1,New Hampshire,6.5
1976/4/1,New Jersey,10.3
1976/4/1,New Mexico,8.6
1976/4/1,New York,10.2
1976/4/1,North Carolina,6.3
1976/4/1,North Dakota,3.5
1976/4/1,Ohio,8
1976/4/1,Oklahoma,5.8
1976/4/1,Oregon,9.2
1976/4/1,Pennsylvania,8.1
1976/4/1,Rhode Island,7.7
1976/4/1,South Carolina,7.2
1976/4/1,South Dakota,3.1
1976/4/1,Tennessee,6
1976/4/1,Texas,5.9
1976/4/1,Utah,5.8
1976/4/1,Vermont,8.6
1976/4/1,Virginia,6
1976/4/1,Washington,8.5
1976/4/1,West Virginia,7.5
1976/4/1,Wisconsin,5.6
1976/4/1,Wyoming,4
1976/5/1,Alabama,6.4
1976/5/1,Alaska,6.9
1976/5/1,Arizona,9.8
1976/5/1,Arkansas,7.1
1976/5/1,California,9
1976/5/1,Colorado,5.6
1976/5/1,Connecticut,9.4
1976/5/1,Delaware,8.3
1976/5/1,District of Columbia,8.4
1976/5/1,Florida,9.3
1976/5/1,Georgia,8.1
1976/5/1,Hawaii,9.4
1976/5/1,Idaho,5.6
1976/5/1,Illinois,6.6
1976/5/1,Indiana,6
1976/5/1,Iowa,4.1
1976/5/1,Kansas,4.2
1976/5/1,Kentucky,5.5
1976/5/1,Louisiana,6.5
1976/5/1,Maine,8.5
1976/5/1,Maryland,6.5
1976/5/1,Massachusetts,10.1
1976/5/1,Michigan,9.6
1976/5/1,Minnesota,5.7
1976/5/1,Mississippi,6.3
1976/5/1,Missouri,6
1976/5/1,Montana,5.8
1976/5/1,Nebraska,3.1
1976/5/1,Nevada,8.9
1976/5/1,New Hampshire,6.5
1976/5/1,New Jersey,10.3
1976/5/1,New Mexico,8.6
1976/5/1,New York,10.1
1976/5/1,North Carolina,6.1
1976/5/1,North Dakota,3.6
1976/5/1,Ohio,7.8
1976/5/1,Oklahoma,5.7
1976/5/1,Oregon,9.1
1976/5/1,Pennsylvania,8.1
1976/5/1,Rhode Island,7.7
1976/5/1,South Carolina,7
1976/5/1,South Dakota,3.1
1976/5/1,Tennessee,5.9
1976/5/1,Texas,5.9
1976/5/1,Utah,5.7
1976/5/1,Vermont,8.5
1976/5/1,Virginia,5.9
1976/5/1,Washington,8.5
1976/5/1,West Virginia,7.4
1976/5/1,Wisconsin,5.5
1976/5/1,Wyoming,3.9
1976/6/1,Alabama,6.5
1976/6/1,Alaska,7.1
1976/6/1,Arizona,9.7
1976/6/1,Arkansas,6.9
1976/6/1,California,9
1976/6/1,Colorado,5.6
1976/6/1,Connecticut,9.3
1976/6/1,Delaware,8.6
1976/6/1,District of Columbia,8.3
1976/6/1,Florida,9.2
1976/6/1,Georgia,8
1976/6/1,Hawaii,9.2
1976/6/1,Idaho,5.6
1976/6/1,Illinois,6.6
1976/6/1,Indiana,5.8
1976/6/1,Iowa,4
1976/6/1,Kansas,4.1
1976/6/1,Kentucky,5.5
1976/6/1,Louisiana,6.7
1976/6/1,Maine,8.4
1976/6/1,Maryland,6.5
1976/6/1,Massachusetts,9.8
1976/6/1,Michigan,9.4
1976/6/1,Minnesota,5.6
1976/6/1,Mississippi,6.2
1976/6/1,Missouri,6.1
1976/6/1,Montana,5.8
1976/6/1,Nebraska,3.1
1976/6/1,Nevada,8.7
1976/6/1,New Hampshire,6.5
1976/6/1,New Jersey,10.3
1976/6/1,New Mexico,8.6
1976/6/1,New York,10.2
1976/6/1,North Carolina,6
1976/6/1,North Dakota,3.7
1976/6/1,Ohio,7.6
1976/6/1,Oklahoma,5.6
1976/6/1,Oregon,9
1976/6/1,Pennsylvania,8
1976/6/1,Rhode Island,7.7
1976/6/1,South Carolina,6.9
1976/6/1,South Dakota,3.1
1976/6/1,Tennessee,5.9
1976/6/1,Texas,5.9
1976/6/1,Utah,5.6
1976/6/1,Vermont,8.4
1976/6/1,Virginia,5.8
1976/6/1,Washington,8.6
1976/6/1,West Virginia,7.4
1976/6/1,Wisconsin,5.4
1976/6/1,Wyoming,3.8
1976/7/1,Alabama,6.6
1976/7/1,Alaska,7.3
1976/7/1,Arizona,9.7
1976/7/1,Arkansas,6.8
1976/7/1,California,9
1976/7/1,Colorado,5.8
1976/7/1,Connecticut,9.1
1976/7/1,Delaware,8.8
1976/7/1,District of Columbia,8.4
1976/7/1,Florida,9.1
1976/7/1,Georgia,8
1976/7/1,Hawaii,9
1976/7/1,Idaho,5.6
1976/7/1,Illinois,6.6
1976/7/1,Indiana,5.7
1976/7/1,Iowa,4
1976/7/1,Kansas,4.1
1976/7/1,Kentucky,5.4
1976/7/1,Louisiana,6.8
1976/7/1,Maine,8.4
1976/7/1,Maryland,6.6
1976/7/1,Massachusetts,9.6
1976/7/1,Michigan,9.2
1976/7/1,Minnesota,5.6
1976/7/1,Mississippi,6.2
1976/7/1,Missouri,6.2
1976/7/1,Montana,5.9
1976/7/1,Nebraska,3
1976/7/1,Nevada,8.6
1976/7/1,New Hampshire,6.4
1976/7/1,New Jersey,10.4
1976/7/1,New Mexico,8.6
1976/7/1,New York,10.2
1976/7/1,North Carolina,5.9
1976/7/1,North Dakota,3.8
1976/7/1,Ohio,7.5
1976/7/1,Oklahoma,5.6
1976/7/1,Oregon,9.1
1976/7/1,Pennsylvania,7.9
1976/7/1,Rhode Island,7.8
1976/7/1,South Carolina,6.8
1976/7/1,South Dakota,3.2
1976/7/1,Tennessee,6
1976/7/1,Texas,5.9
1976/7/1,Utah,5.5
1976/7/1,Vermont,8.3
1976/7/1,Virginia,5.8
1976/7/1,Washington,8.7
1976/7/1,West Virginia,7.2
1976/7/1,Wisconsin,5.3
1976/7/1,Wyoming,3.7
1976/8/1,Alabama,6.7
1976/8/1,Alaska,7.6
1976/8/1,Arizona,9.6
1976/8/1,Arkansas,6.7
1976/8/1,California,9.1
1976/8/1,Colorado,5.9
1976/8/1,Connecticut,9
1976/8/1,Delaware,8.9
1976/8/1,District of Columbia,8.5
1976/8/1,Florida,9.1
1976/8/1,Georgia,8
1976/8/1,Hawaii,8.9
1976/8/1,Idaho,5.6
1976/8/1,Illinois,6.6
1976/8/1,Indiana,5.7
1976/8/1,Iowa,3.9
1976/8/1,Kansas,4.1
1976/8/1,Kentucky,5.4
1976/8/1,Louisiana,6.8
1976/8/1,Maine,8.5
1976/8/1,Maryland,6.6
1976/8/1,Massachusetts,9.4
1976/8/1,Michigan,9.1
1976/8/1,Minnesota,5.7
1976/8/1,Mississippi,6.3
1976/8/1,Missouri,6.3
1976/8/1,Montana,5.9
1976/8/1,Nebraska,3.1
1976/8/1,Nevada,8.6
1976/8/1,New Hampshire,6.4
1976/8/1,New Jersey,10.4
1976/8/1,New Mexico,8.6
1976/8/1,New York,10.2
1976/8/1,North Carolina,5.9
1976/8/1,North Dakota,3.9
1976/8/1,Ohio,7.5
1976/8/1,Oklahoma,5.5
1976/8/1,Oregon,9.2
1976/8/1,Pennsylvania,7.9
1976/8/1,Rhode Island,8
1976/8/1,South Carolina,6.8
1976/8/1,South Dakota,3.3
1976/8/1,Tennessee,6.1
1976/8/1,Texas,5.8
1976/8/1,Utah,5.4
1976/8/1,Vermont,8.2
1976/8/1,Virginia,5.8
1976/8/1,Washington,8.9
1976/8/1,West Virginia,7.1
1976/8/1,Wisconsin,5.3
1976/8/1,Wyoming,3.7
1976/9/1,Alabama,6.8
1976/9/1,Alaska,8
1976/9/1,Arizona,9.6
1976/9/1,Arkansas,6.6
1976/9/1,California,9.2
1976/9/1,Colorado,6.1
1976/9/1,Connecticut,8.8
1976/9/1,Delaware,9
1976/9/1,District of Columbia,8.7
1976/9/1,Florida,9.1
1976/9/1,Georgia,8
1976/9/1,Hawaii,8.8
1976/9/1,Idaho,5.6
1976/9/1,Illinois,6.6
1976/9/1,Indiana,5.7
1976/9/1,Iowa,3.9
1976/9/1,Kansas,4.1
1976/9/1,Kentucky,5.3
1976/9/1,Louisiana,6.9
1976/9/1,Maine,8.6
1976/9/1,Maryland,6.7
1976/9/1,Massachusetts,9.2
1976/9/1,Michigan,9
1976/9/1,Minnesota,5.7
1976/9/1,Mississippi,6.4
1976/9/1,Missouri,6.4
1976/9/1,Montana,5.9
1976/9/1,Nebraska,3.1
1976/9/1,Nevada,8.6
1976/9/1,New Hampshire,6.3
1976/9/1,New Jersey,10.4
1976/9/1,New Mexico,8.7
1976/9/1,New York,10.2
1976/9/1,North Carolina,6
1976/9/1,North Dakota,4
1976/9/1,Ohio,7.5
1976/9/1,Oklahoma,5.4
1976/9/1,Oregon,9.2
1976/9/1,Pennsylvania,7.9
1976/9/1,Rhode Island,8.2
1976/9/1,South Carolina,6.8
1976/9/1,South Dakota,3.4
1976/9/1,Tennessee,6.1
1976/9/1,Texas,5.7
1976/9/1,Utah,5.4
1976/9/1,Vermont,8
1976/9/1,Virginia,5.8
1976/9/1,Washington,9
1976/9/1,West Virginia,6.9
1976/9/1,Wisconsin,5.4
1976/9/1,Wyoming,3.7
1976/10/1,Alabama,6.9
1976/10/1,Alaska,8.3
1976/10/1,Arizona,9.5
1976/10/1,Arkansas,6.6
1976/10/1,California,9.3
1976/10/1,Colorado,6.3
1976/10/1,Connecticut,8.7
1976/10/1,Delaware,9.1
1976/10/1,District of Columbia,8.8
1976/10/1,Florida,9.1
1976/10/1,Georgia,8.1
1976/10/1,Hawaii,8.7
1976/10/1,Idaho,5.7
1976/10/1,Illinois,6.5
1976/10/1,Indiana,5.8
1976/10/1,Iowa,4
1976/10/1,Kansas,4.1
1976/10/1,Kentucky,5.2
1976/10/1,Louisiana,6.9
1976/10/1,Maine,8.8
1976/10/1,Maryland,6.7
1976/10/1,Massachusetts,9.1
1976/10/1,Michigan,9
1976/10/1,Minnesota,5.8
1976/10/1,Mississippi,6.6
1976/10/1,Missouri,6.5
1976/10/1,Montana,6
1976/10/1,Nebraska,3.1
1976/10/1,Nevada,8.6
1976/10/1,New Hampshire,6.3
1976/10/1,New Jersey,10.5
1976/10/1,New Mexico,8.9
1976/10/1,New York,10.2
1976/10/1,North Carolina,6.2
1976/10/1,North Dakota,4.1
1976/10/1,Ohio,7.5
1976/10/1,Oklahoma,5.4
1976/10/1,Oregon,9.3
1976/10/1,Pennsylvania,7.9
1976/10/1,Rhode Island,8.4
1976/10/1,South Carolina,6.8
1976/10/1,South Dakota,3.5
1976/10/1,Tennessee,6.3
1976/10/1,Texas,5.7
1976/10/1,Utah,5.4
1976/10/1,Vermont,7.9
1976/10/1,Virginia,5.7
1976/10/1,Washington,9.1
1976/10/1,West Virginia,6.8
1976/10/1,Wisconsin,5.4
1976/10/1,Wyoming,3.7
1976/11/1,Alabama,7
1976/11/1,Alaska,8.6
1976/11/1,Arizona,9.4
1976/11/1,Arkansas,6.6
1976/11/1,California,9.3
1976/11/1,Colorado,6.4
1976/11/1,Connecticut,8.5
1976/11/1,Delaware,9.2
1976/11/1,District of Columbia,8.9
1976/11/1,Florida,9.1
1976/11/1,Georgia,8.1
1976/11/1,Hawaii,8.7
1976/11/1,Idaho,5.8
1976/11/1,Illinois,6.4
1976/11/1,Indiana,5.8
1976/11/1,Iowa,4
1976/11/1,Kansas,4.1
1976/11/1,Kentucky,5.2
1976/11/1,Louisiana,6.9
1976/11/1,Maine,8.9
1976/11/1,Maryland,6.7
1976/11/1,Massachusetts,9
1976/11/1,Michigan,9
1976/11/1,Minnesota,5.9
1976/11/1,Mississippi,6.7
1976/11/1,Missouri,6.5
1976/11/1,Montana,6
1976/11/1,Nebraska,3.1
1976/11/1,Nevada,8.7
1976/11/1,New Hampshire,6.3
1976/11/1,New Jersey,10.5
1976/11/1,New Mexico,9
1976/11/1,New York,10.2
1976/11/1,North Carolina,6.3
1976/11/1,North Dakota,4.1
1976/11/1,Ohio,7.5
1976/11/1,Oklahoma,5.3
1976/11/1,Oregon,9.4
1976/11/1,Pennsylvania,8
1976/11/1,Rhode Island,8.6
1976/11/1,South Carolina,6.9
1976/11/1,South Dakota,3.6
1976/11/1,Tennessee,6.4
1976/11/1,Texas,5.7
1976/11/1,Utah,5.5
1976/11/1,Vermont,7.7
1976/11/1,Virginia,5.7
1976/11/1,Washington,9.3
1976/11/1,West Virginia,6.9
1976/11/1,Wisconsin,5.4
1976/11/1,Wyoming,3.7
1976/12/1,Alabama,7.2
1976/12/1,Alaska,8.9
1976/12/1,Arizona,9.3
1976/12/1,Arkansas,6.6
1976/12/1,California,9.3
1976/12/1,Colorado,6.5
1976/12/1,Connecticut,8.3
1976/12/1,Delaware,9.2
1976/12/1,District of Columbia,8.9
1976/12/1,Florida,9.1
1976/12/1,Georgia,8.1
1976/12/1,Hawaii,8.6
1976/12/1,Idaho,5.9
1976/12/1,Illinois,6.3
1976/12/1,Indiana,5.9
1976/12/1,Iowa,4
1976/12/1,Kansas,4.2
1976/12/1,Kentucky,5.1
1976/12/1,Louisiana,6.9
1976/12/1,Maine,9.1
1976/12/1,Maryland,6.7
1976/12/1,Massachusetts,8.9
1976/12/1,Michigan,9
1976/12/1,Minnesota,5.9
1976/12/1,Mississippi,6.8
1976/12/1,Missouri,6.5
1976/12/1,Montana,6
1976/12/1,Nebraska,3.1
1976/12/1,Nevada,8.6
1976/12/1,New Hampshire,6.4
1976/12/1,New Jersey,10.6
1976/12/1,New Mexico,9
1976/12/1,New York,10.2
1976/12/1,North Carolina,6.4
1976/12/1,North Dakota,4.2
1976/12/1,Ohio,7.5
1976/12/1,Oklahoma,5.3
1976/12/1,Oregon,9.3
1976/12/1,Pennsylvania,8.1
1976/12/1,Rhode Island,8.7
1976/12/1,South Carolina,7
1976/12/1,South Dakota,3.7
1976/12/1,Tennessee,6.5
1976/12/1,Texas,5.8
1976/12/1,Utah,5.5
1976/12/1,Vermont,7.7
1976/12/1,Virginia,5.6
1976/12/1,Washington,9.4
1976/12/1,West Virginia,7
1976/12/1,Wisconsin,5.5
1976/12/1,Wyoming,3.8
1977/1/1,Alabama,7.3
1977/1/1,Alaska,9.1
1977/1/1,Arizona,9.3
1977/1/1,Arkansas,6.6
1977/1/1,California,9.2
1977/1/1,Colorado,6.6
1977/1/1,Connecticut,8.2
1977/1/1,Delaware,9.2
1977/1/1,District of Columbia,8.9
1977/1/1,Florida,9
1977/1/1,Georgia,8.1
1977/1/1,Hawaii,8.5
1977/1/1,Idaho,5.9
1977/1/1,Illinois,6.2
1977/1/1,Indiana,5.8
1977/1/1,Iowa,4
1977/1/1,Kansas,4.2
1977/1/1,Kentucky,5.1
1977/1/1,Louisiana,6.9
1977/1/1,Maine,9.1
1977/1/1,Maryland,6.7
1977/1/1,Massachusetts,8.8
1977/1/1,Michigan,8.9
1977/1/1,Minnesota,5.9
1977/1/1,Mississippi,6.9
1977/1/1,Missouri,6.4
1977/1/1,Montana,6
1977/1/1,Nebraska,3.1
1977/1/1,Nevada,8.5
1977/1/1,New Hampshire,6.4
1977/1/1,New Jersey,10.5
1977/1/1,New Mexico,9
1977/1/1,New York,10.1
1977/1/1,North Carolina,6.5
1977/1/1,North Dakota,4.3
1977/1/1,Ohio,7.4
1977/1/1,Oklahoma,5.3
1977/1/1,Oregon,9.2
1977/1/1,Pennsylvania,8.1
1977/1/1,Rhode Island,8.8
1977/1/1,South Carolina,7.1
1977/1/1,South Dakota,3.7
1977/1/1,Tennessee,6.5
1977/1/1,Texas,5.8
1977/1/1,Utah,5.5
1977/1/1,Vermont,7.6
1977/1/1,Virginia,5.6
1977/1/1,Washington,9.4
1977/1/1,West Virginia,7.1
1977/1/1,Wisconsin,5.4
1977/1/1,Wyoming,3.8
1977/2/1,Alabama,7.4
1977/2/1,Alaska,9.4
1977/2/1,Arizona,9.2
1977/2/1,Arkansas,6.6
1977/2/1,California,9.1
1977/2/1,Colorado,6.6
1977/2/1,Connecticut,7.9
1977/2/1,Delaware,9.1
1977/2/1,District of Columbia,8.8
1977/2/1,Florida,9
1977/2/1,Georgia,7.9
1977/2/1,Hawaii,8.3
1977/2/1,Idaho,6
1977/2/1,Illinois,6.1
1977/2/1,Indiana,5.8
1977/2/1,Iowa,4
1977/2/1,Kansas,4.2
1977/2/1,Kentucky,5
1977/2/1,Louisiana,6.8
1977/2/1,Maine,9.1
1977/2/1,Maryland,6.6
1977/2/1,Massachusetts,8.6
1977/2/1,Michigan,8.7
1977/2/1,Minnesota,5.8
1977/2/1,Mississippi,7
1977/2/1,Missouri,6.3
1977/2/1,Montana,6
1977/2/1,Nebraska,3.1
1977/2/1,Nevada,8.2
1977/2/1,New Hampshire,6.3
1977/2/1,New Jersey,10.4
1977/2/1,New Mexico,8.8
1977/2/1,New York,10
1977/2/1,North Carolina,6.4
1977/2/1,North Dakota,4.4
1977/2/1,Ohio,7.3
1977/2/1,Oklahoma,5.3
1977/2/1,Oregon,9
1977/2/1,Pennsylvania,8.1
1977/2/1,Rhode Island,8.8
1977/2/1,South Carolina,7.2
1977/2/1,South Dakota,3.7
1977/2/1,Tennessee,6.6
1977/2/1,Texas,5.8
1977/2/1,Utah,5.5
1977/2/1,Vermont,7.5
1977/2/1,Virginia,5.6
1977/2/1,Washington,9.4
1977/2/1,West Virginia,7.1
1977/2/1,Wisconsin,5.4
1977/2/1,Wyoming,3.7
1977/3/1,Alabama,7.5
1977/3/1,Alaska,9.6
1977/3/1,Arizona,9.1
1977/3/1,Arkansas,6.6
1977/3/1,California,8.9
1977/3/1,Colorado,6.6
1977/3/1,Connecticut,7.7
1977/3/1,Delaware,8.9
1977/3/1,District of Columbia,8.7
1977/3/1,Florida,8.9
1977/3/1,Georgia,7.7
1977/3/1,Hawaii,8.1
1977/3/1,Idaho,5.9
1977/3/1,Illinois,6.1
1977/3/1,Indiana,5.8
1977/3/1,Iowa,4
1977/3/1,Kansas,4.1
1977/3/1,Kentucky,5
1977/3/1,Louisiana,6.8
1977/3/1,Maine,9
1977/3/1,Maryland,6.5
1977/3/1,Massachusetts,8.5
1977/3/1,Michigan,8.6
1977/3/1,Minnesota,5.8
1977/3/1,Mississippi,7.1
1977/3/1,Missouri,6.2
1977/3/1,Montana,6
1977/3/1,Nebraska,3.2
1977/3/1,Nevada,7.9
1977/3/1,New Hampshire,6.2
1977/3/1,New Jersey,10.2
1977/3/1,New Mexico,8.6
1977/3/1,New York,9.8
1977/3/1,North Carolina,6.3
1977/3/1,North Dakota,4.4
1977/3/1,Ohio,7.1
1977/3/1,Oklahoma,5.2
1977/3/1,Oregon,8.7
1977/3/1,Pennsylvania,8
1977/3/1,Rhode Island,8.6
1977/3/1,South Carolina,7.2
1977/3/1,South Dakota,3.7
1977/3/1,Tennessee,6.5
1977/3/1,Texas,5.7
1977/3/1,Utah,5.5
1977/3/1,Vermont,7.4
1977/3/1,Virginia,5.5
1977/3/1,Washington,9.2
1977/3/1,West Virginia,7.1
1977/3/1,Wisconsin,5.3
1977/3/1,Wyoming,3.6
1977/4/1,Alabama,7.5
1977/4/1,Alaska,9.7
1977/4/1,Arizona,9
1977/4/1,Arkansas,6.6
1977/4/1,California,8.7
1977/4/1,Colorado,6.5
1977/4/1,Connecticut,7.5
1977/4/1,Delaware,8.7
1977/4/1,District of Columbia,8.7
1977/4/1,Florida,8.7
1977/4/1,Georgia,7.4
1977/4/1,Hawaii,7.9
1977/4/1,Idaho,5.9
1977/4/1,Illinois,6
1977/4/1,Indiana,5.7
1977/4/1,Iowa,4
1977/4/1,Kansas,4
1977/4/1,Kentucky,4.9
1977/4/1,Louisiana,6.7
1977/4/1,Maine,8.9
1977/4/1,Maryland,6.3
1977/4/1,Massachusetts,8.3
1977/4/1,Michigan,8.4
1977/4/1,Minnesota,5.7
1977/4/1,Mississippi,7.2
1977/4/1,Missouri,6.1
1977/4/1,Montana,6
1977/4/1,Nebraska,3.2
1977/4/1,Nevada,7.6
1977/4/1,New Hampshire,6.1
1977/4/1,New Jersey,9.9
1977/4/1,New Mexico,8.3
1977/4/1,New York,9.6
1977/4/1,North Carolina,6.2
1977/4/1,North Dakota,4.5
1977/4/1,Ohio,6.8
1977/4/1,Oklahoma,5.2
1977/4/1,Oregon,8.2
1977/4/1,Pennsylvania,7.9
1977/4/1,Rhode Island,8.5
1977/4/1,South Carolina,7.1
1977/4/1,South Dakota,3.6
1977/4/1,Tennessee,6.5
1977/4/1,Texas,5.5
1977/4/1,Utah,5.4
1977/4/1,Vermont,7.3
1977/4/1,Virginia,5.5
1977/4/1,Washington,9.1
1977/4/1,West Virginia,7
1977/4/1,Wisconsin,5.2
1977/4/1,Wyoming,3.5
1977/5/1,Alabama,7.5
1977/5/1,Alaska,9.9
1977/5/1,Arizona,8.8
1977/5/1,Arkansas,6.5
1977/5/1,California,8.6
1977/5/1,Colorado,6.4
1977/5/1,Connecticut,7.2
1977/5/1,Delaware,8.4
1977/5/1,District of Columbia,8.7
1977/5/1,Florida,8.6
1977/5/1,Georgia,7.1
1977/5/1,Hawaii,7.6
1977/5/1,Idaho,6
1977/5/1,Illinois,6.1
1977/5/1,Indiana,5.7
1977/5/1,Iowa,4
1977/5/1,Kansas,4
1977/5/1,Kentucky,4.8
1977/5/1,Louisiana,6.7
1977/5/1,Maine,8.7
1977/5/1,Maryland,6.2
1977/5/1,Massachusetts,8.1
1977/5/1,Michigan,8.3
1977/5/1,Minnesota,5.5
1977/5/1,Mississippi,7.3
1977/5/1,Missouri,6.1
1977/5/1,Montana,6.1
1977/5/1,Nebraska,3.2
1977/5/1,Nevada,7.3
1977/5/1,New Hampshire,5.9
1977/5/1,New Jersey,9.6
1977/5/1,New Mexico,8.1
1977/5/1,New York,9.3
1977/5/1,North Carolina,6
1977/5/1,North Dakota,4.5
1977/5/1,Ohio,6.6
1977/5/1,Oklahoma,5.1
1977/5/1,Oregon,7.8
1977/5/1,Pennsylvania,7.8
1977/5/1,Rhode Island,8.3
1977/5/1,South Carolina,7
1977/5/1,South Dakota,3.5
1977/5/1,Tennessee,6.4
1977/5/1,Texas,5.4
1977/5/1,Utah,5.4
